tvg_id,display_name,group_title,group_id
investigation-discovery-usa-eastern,Investigation Discovery USA Eastern,Live,Crime
ion-eastern-feed,ION Eastern Feed,Live,Lifestyle & Pop Culture
lifetime-movies-east,Lifetime Movies East,Live,Movies
lifetime-network-us-eastern-feed,Lifetime Network US Eastern Feed,Live,Movies
logo-east,LOGO East,Live,Lifestyle & Pop Culture
marquee-sports-network,Marquee Sports Network,Live,Sports & Outdoors
metv-toons-wjlp2-new-jersey,MeTV Toons (WJLP2) New Jersey,Live,Kids
metv-wjlp-new-jerseynew-york,MeTV Wjlp New Jerseynew York,Live,News & Opinion
midatlantic-sports-network,Midatlantic Sports Network,Live,Sports & Outdoors
mlb-network,MLB Network,Network TV,
monumental-sports-network,Monumental Sports Network,Live,Sports & Outdoors
moremax-eastern,MoreMax Eastern,Live,Movies
motor-trend-hd,Motor Trend HD,Live,Sports & Outdoors
moviemax-max-6-east,MovieMax (Max 6) East,Live,Movies
msg-madison-square-gardens,MSG Madison Square Gardens,Live,Sports & Outdoors
msg-plus,MSG Plus,Live,Sports & Outdoors
msnbc-usa,MSNBC USA,Live,News & Opinion
mtv-2-east,MTV 2 East,Live,Music
mtv-usa-eastern-feed,MTV USA Eastern Feed,Live,Music
national-geographic-us-eastern,National Geographic US Eastern,Live,"Nature, History & Science"
national-geographic-wild,National Geographic Wild,Live,"Nature, History & Science"
nba-tv-usa,NBA TV USA,Live,Sports & Outdoors
nbc-knbc-los-angeles-ca,NBC (KNBC) Los Angeles,Network TV,
nbc-wnbc-new-york-ny,"NBC (WNBC) New York, NY",Network TV,
nbc-sports-bay-area,NBC Sports Bay Area,Live,Sports & Outdoors
nbc-sports-boston,NBC Sports Boston,Live,Sports & Outdoors
nbc-sports-california,NBC Sports California,Live,Sports & Outdoors
nbc-sports-philadelphia,NBC Sports Philadelphia,Live,Sports & Outdoors
new-england-sports-network,New England Sports Network,Live,Sports & Outdoors
newsmax-tv,NewsMax TV,Live,News & Opinion
nfl-network,NFL Network,Live,Sports & Outdoors
nfl-redzone,NFL RedZone,Live,Sports & Outdoors
nhl-network-usa,NHL Network USA,Live,Sports & Outdoors
nick-jr-east,Nick Jr. East,Live,Kids
nickelodeon-usa-east-feed,Nickelodeon USA East Feed,Live,Kids
nicktoons-east,Nicktoons East,Live,Kids
oprah-winfrey-network-usa-eastern,Oprah Winfrey Network USA Eastern,Live,Lifestyle & Pop Culture
outdoor-channel-us,Outdoor Channel US,Live,Sports & Outdoors
oxygen-eastern-feed,Oxygen Eastern Feed,Live,Crime
pbs-wnet-new-york-ny,"PBS (WNET) New York, NY",Network TV,
reelzchannel,ReelzChannel,Live,Movies
science,Science,Live,"Nature, History & Science"
sec-network,SEC Network,Live,Sports & Outdoors
paramount-with-showtime-eastern-feed,Showtime Eastern Feed,Live,Movies
showtime-2-eastern,Showtime 2 Eastern,Live,Movies
sny-sportsnet-new-york-comcast,SNY Sportsnet New York Comcast,Live,Sports & Outdoors
space-city-home-network,Space City Home Network,Live,"Nature, History & Science"
spectrum-sportsnet-la,Spectrum SportsNet LA,Live,Sports & Outdoors
spectrum-sportsnet,Spectrum Sportsnet Lakers,Live,Sports & Outdoors
sportsnet-east,Sportsnet (East),Live,Sports & Outdoors
sportsnet-360,Sportsnet 360,Live,Sports & Outdoors
sportsnet-one,Sportsnet One,Live,Sports & Outdoors
sportsnet-ontario,Sportsnet Ontario,Live,Sports & Outdoors
sportsnet-pacific,Sportsnet Pacific,Live,Sports & Outdoors
